"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"385","6 Fakta Dewi Api, Villain Powerful di Film Sri Asih https://t.co/eykkkDTgM0",FALSE,0,NA,2022-11-22 12:33:08,FALSE,NA,"1595032633502990338",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Duniaku_com",1,FALSE,FALSE,NA,NA
"386","Sekali lagi, Lo pada mesti nonton film ini. Jangan ampe lu nyesel ga ngerasain Hypenya andaikata nanti masuk ke Pla… https://t.co/Pvsii6VHdz",FALSE,1,"kinsangry",2022-11-22 12:28:36,TRUE,"1595031490106392576","1595031492312301570","1246892736248045568","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kinsangry",0,FALSE,FALSE,NA,NA
"387","Gue percaya Film Indonesia kedepannya arahnya akan bagaimana. Gue juga nemuin titik terang untuk masa depan perfilm… https://t.co/tOgRXHr5Kf",FALSE,1,"kinsangry",2022-11-22 12:28:36,TRUE,"1595031487690465280","1595031490106392576","1246892736248045568","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kinsangry",0,FALSE,FALSE,NA,NA
"388","Dari opening perkenalan Sri Asih, ampe dia dapet kekuatan Sri asih itu udh gila banget menurut gue ceritanya, bener… https://t.co/q1of79kaDI",FALSE,1,"kinsangry",2022-11-22 12:28:35,TRUE,"1595031485563932673","1595031487690465280","1246892736248045568","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kinsangry",0,FALSE,FALSE,NA,NA
"389","Pertama, gue mau bilang ke Ka @upirocks dan @jokoanwar, lo berdua gila lo berdua keren abis!!

Ini film menurut gue… https://t.co/NTlEpKKxux",FALSE,1,"kinsangry",2022-11-22 12:28:33,TRUE,"1595031476684619776","1595031480392105985","1246892736248045568","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kinsangry",0,FALSE,FALSE,NA,NA
"390","Gue sebenernya agak Takut, Malu dan Ragu buat Review Film Sri Asih. But, ini film one of best untuk Film Indonesia… https://t.co/3g7Ppcouhd",FALSE,4,NA,2022-11-22 12:28:32,TRUE,NA,"1595031476684619776",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kinsangry",1,FALSE,FALSE,NA,NA
"391","@moviemenfes - Ngeri-Ngeri Sedap
- Noktah Merah Perkawinan
- Before, Now &amp; Then
- Sri Asih
- Mencuri Raden Saleh",FALSE,0,"moviemenfes",2022-11-22 12:27:25,FALSE,"1594981520808169472","1595031194928054273","1565895180","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","evilnvile",0,FALSE,FALSE,NA,NA
"392","Sri Asih ini menurut gw film Indonésia dengan CGI terbaik untuk saät ini. Kerén sih.",FALSE,1,NA,2022-11-22 12:21:39,FALSE,NA,"1595029741026873345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rezatrip_",0,FALSE,FALSE,NA,NA
"393","Asal-usul Dewi Api, yang muncul di Film Sri Asih! https://t.co/jXINChwS3f via @YouTube",FALSE,0,NA,2022-11-22 12:21:31,FALSE,NA,"1595029709024550913",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Yant50713912",0,FALSE,FALSE,NA,NA
"394","Tonton en aku wes dadi sri asih 😭 https://t.co/fQAEqi9U7d",FALSE,0,NA,2022-11-22 12:21:29,FALSE,NA,"1595029699595423746",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gitapraznaa",0,FALSE,FALSE,NA,NA
"395","@Marvfess Cakep. Tp sayang bgt bukan film indo yg diginiin pdhl ada sri asih",FALSE,0,"Marvfess",2022-11-22 12:20:16,FALSE,"1595010709988864000","1595029395835867137","1126162424397041664","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ruiruichi",0,FALSE,FALSE,NA,NA
"396","sri asih tungguin gue weekend ini",FALSE,1,NA,2022-11-22 12:20:02,FALSE,NA,"1595029337056563200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hesulla",0,FALSE,FALSE,NA,NA
"397","Kita seru-seruan disini gibahin filmnya. No rules! tumpahkan semua kesenangan kita terhadap filmnya. Ada baiknya no… https://t.co/UJzOesPt0J",FALSE,15,NA,2022-11-22 12:14:11,TRUE,NA,"1595027864675831809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","keramagz",3,FALSE,FALSE,NA,NA
"398","eh anjir kalau kyk gini terus gue kapan bs nonton Sri Asih woiiiiii adoeh",FALSE,1,NA,2022-11-22 12:13:54,FALSE,NA,"1595027792227360770",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maroonfella",0,FALSE,FALSE,NA,NA
"399","Mimpi yang menjadi nyata, Najwa Shihab akhirnya berkesempatan untuk berakting di Film Sri Asih, sebagai Nani Wijaya… https://t.co/7B9cKsOwBu",FALSE,1,NA,2022-11-22 12:11:28,TRUE,NA,"1595027179305418755",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SuaraPembaruan",0,FALSE,FALSE,NA,NA
"400","Seriously pengen nonton lagi Sri Asih 😭😭😭",FALSE,1,NA,2022-11-22 12:11:20,FALSE,NA,"1595027145667010566",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gabutproduktif",0,FALSE,FALSE,NA,NA
"401","@sriasihofficial @jokoanwar Bang, minta foto Sri Asih Pev yg full kostum donk, thx",FALSE,0,"sriasihofficial",2022-11-22 12:11:19,FALSE,"1594950247872360449","1595027141045137408","1161529197921222658","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IwanCah75363304",0,FALSE,FALSE,NA,NA
"402","Jujur aku terbantu sama bahasa baku yg mereka ucapin di Sri Asih, krn sama sekali ga ada subtitle. Kadang suka beli… https://t.co/qj1AnXujxp",FALSE,1,NA,2022-11-22 12:11:13,TRUE,NA,"1595027118077153281",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hi_windrizzle",0,FALSE,FALSE,NA,NA
